IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
152.70.95.142,443,true,ICN,Asia Pacific,Seoul,72 ms,24691 kB/s
141.148.227.19,443,true,AMS,Europe,Amsterdam,165 ms,10320 kB/s
143.47.179.1,443,true,FRA,Europe,Frankfurt,172 ms,10035 kB/s
141.145.217.226,443,true,CDG,Europe,Paris,182 ms,9783 kB/s
141.144.195.82,443,true,FRA,Europe,Frankfurt,187 ms,9268 kB/s
138.3.249.33,443,true,FRA,Europe,Frankfurt,179 ms,9060 kB/s
144.21.50.173,443,true,FRA,Europe,Frankfurt,180 ms,8963 kB/s
144.21.63.135,443,true,FRA,Europe,Frankfurt,181 ms,8620 kB/s
132.226.201.254,443,true,FRA,Europe,Frankfurt,264 ms,3994 kB/s
146.56.101.141,443,true,ICN,Asia Pacific,Seoul,137 ms,2795 kB/s
143.47.190.109,443,true,FRA,Europe,Frankfurt,188 ms,2271 kB/s
129.146.251.53,443,true,LAX,North America,Los Angeles,220 ms,1522 kB/s
146.56.47.194,443,true,SIN,Asia Pacific,Singapore,182 ms,1404 kB/s
140.84.179.114,443,true,DFW,North America,Dallas,230 ms,188 kB/s
129.154.59.99,443,true,ICN,Asia Pacific,Seoul,135 ms,107 kB/s
152.70.166.114,443,true,FRA,Europe,Frankfurt,177 ms,0 kB/s
193.123.62.153,443,true,AMS,Europe,Amsterdam,183 ms,0 kB/s
132.145.81.117,443,true,ICN,Asia Pacific,Seoul,66 ms,0 kB/s
129.146.221.78,443,true,LAX,North America,Los Angeles,192 ms,0 kB/s
129.159.244.64,443,true,FRA,Europe,Frankfurt,265 ms,0 kB/s
138.2.133.76,443,true,FRA,Europe,Frankfurt,252 ms,0 kB/s
144.21.55.123,443,true,FRA,Europe,Frankfurt,292 ms,0 kB/s
168.138.177.109,443,true,SIN,Asia Pacific,Singapore,301 ms,0 kB/s
